               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.047592,            0.032351,                   0,              0.6518,             0.83333,             0.79213,             0.31541,            0.039181,           0.0092832,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.055827,            0.028571,                   0,             0.82627,             0.66667,             0.83017,             0.43756,            0.037024,           0.0091583,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.046832,            0.029148,                   0,             0.82627,             0.66667,             0.83017,             0.43756,            0.037024,           0.0091583,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.043529,            0.032503,                   0,             0.82627,             0.66667,             0.83017,             0.43756,            0.037024,           0.0091583,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.041151,            0.022814,                   0,             0.86516,             0.66667,             0.80417,             0.54851,            0.034446,           0.0087549,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.046631,            0.029955,                   0,             0.86516,             0.66667,             0.80417,             0.54851,            0.034446,           0.0087549,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.039915,            0.021341,                   0,             0.86516,             0.66667,             0.80417,             0.54851,            0.034446,           0.0087549,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.048459,            0.029881,                   0,             0.88836,             0.66667,             0.81471,             0.59513,            0.034649,           0.0084957,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.046202,            0.035432,                   0,             0.88836,             0.66667,             0.81471,             0.59513,            0.034649,           0.0084957,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.035712,             0.02622,                   0,             0.88836,             0.66667,             0.81471,             0.59513,            0.034649,           0.0084957,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.040694,            0.027591,                   0,             0.89595,             0.71965,             0.89352,             0.49154,            0.035466,           0.0080543,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.040873,            0.027181,                   0,             0.89595,             0.71965,             0.89352,             0.49154,            0.035466,           0.0080543,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.040474,            0.026895,                   0,             0.89595,             0.71965,             0.89352,             0.49154,            0.035466,           0.0080543,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.052925,            0.028088,                   0,             0.89595,             0.71965,             0.89352,             0.49154,            0.035466,           0.0080543,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.039657,            0.026923,                   0,             0.74557,             0.73375,             0.83889,             0.42873,            0.034661,            0.007998,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.045352,            0.028487,                   0,             0.74557,             0.73375,             0.83889,             0.42873,            0.034661,            0.007998,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.039787,            0.025976,                   0,             0.74557,             0.73375,             0.83889,             0.42873,            0.034661,            0.007998,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.046186,             0.02665,                   0,             0.73292,                0.75,             0.84063,             0.47225,            0.032676,           0.0081681,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.036269,               0.027,                   0,             0.73292,                0.75,             0.84063,             0.47225,            0.032676,           0.0081681,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.043118,            0.027221,                   0,             0.73292,                0.75,             0.84063,             0.47225,            0.032676,           0.0081681,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.038853,            0.022951,                   0,             0.99924,                0.75,             0.92342,             0.60659,            0.031478,           0.0081408,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.035611,             0.02522,                   0,             0.99924,                0.75,             0.92342,             0.60659,            0.031478,           0.0081408,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.034216,            0.026033,                   0,             0.99924,                0.75,             0.92342,             0.60659,            0.031478,           0.0081408,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.052585,            0.026035,                   0,             0.89963,             0.74726,             0.91014,             0.59208,            0.031286,           0.0080918,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.039107,            0.022516,                   0,             0.89963,             0.74726,             0.91014,             0.59208,            0.031286,           0.0080918,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.041851,            0.022734,                   0,             0.89963,             0.74726,             0.91014,             0.59208,            0.031286,           0.0080918,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.041132,            0.027697,                   0,             0.98027,                0.75,             0.94286,              0.6209,            0.031146,           0.0079971,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.031089,            0.019991,                   0,             0.98027,                0.75,             0.94286,              0.6209,            0.031146,           0.0079971,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.04048,            0.026927,                   0,             0.98027,                0.75,             0.94286,              0.6209,            0.031146,           0.0079971,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.041826,            0.024169,                   0,             0.98027,                0.75,             0.94286,              0.6209,            0.031146,           0.0079971,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.036482,            0.026109,                   0,             0.99962,                0.75,             0.92256,             0.62341,            0.030987,           0.0080126,                   0,             0.00109,             0.00109,             0.00109
                  92,             0.04488,            0.027759,                   0,             0.99962,                0.75,             0.92256,             0.62341,            0.030987,           0.0080126,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.039453,            0.026683,                   0,             0.99962,                0.75,             0.92256,             0.62341,            0.030987,           0.0080126,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.038265,            0.026246,                   0,             0.96448,                0.75,             0.93933,             0.61475,            0.031054,           0.0078176,                   0,            0.000793,            0.000793,            0.000793
                  95,             0.04503,            0.029734,                   0,             0.96448,                0.75,             0.93933,             0.61475,            0.031054,           0.0078176,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.034506,            0.021115,                   0,             0.96448,                0.75,             0.93933,             0.61475,            0.031054,           0.0078176,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.036139,            0.025167,                   0,                   1,             0.82725,             0.96833,             0.66341,            0.030589,           0.0076489,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.034986,            0.027878,                   0,                   1,             0.82725,             0.96833,             0.66341,            0.030589,           0.0076489,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.040249,            0.023839,                   0,                   1,             0.82725,             0.96833,             0.66341,            0.030589,           0.0076489,                   0,            0.000298,            0.000298,            0.000298
